month,department,tasks_completed
January,IT,42
January,HR,25
January,Sales,31
January,Finance,29

February,IT,50
February,HR,30
February,Sales,45
February,Finance,34

March,IT,60
March,HR,20
March,Sales,55
March,Finance,40

April,IT,43
April,HR,28
April,Sales,33
April,Finance,26

May,IT,47
May,HR,15
May,Sales,56
May,Finance,38

June,IT,45
June,HR,32
June,Sales,38
June,Finance,30

July,IT,52
July,HR,27
July,Sales,49
July,Finance,36

August,IT,48
August,HR,32
August,Sales,41
August,Finance,33

September,IT,55
September,HR,29
September,Sales,53
September,Finance,37

October,IT,61
October,HR,34
October,Sales,58
October,Finance,42

November,IT,46
November,HR,22
November,Sales,44
November,Finance,31

December,IT,58
December,HR,31
December,Sales,62
December,Finance,45
